Ticker,Company Name,Current Price,Low PT,Avg PT,High PT,# Analyst,LowPT/Curr%,AvgPT/Curr%,HighPT/Curr%,Rating
CHTR,"Charter Communications
",622.5,500,658.29,800,19,-19.70%,5.70%,28.50%,9
AMD,"Advanced Micro Devices
",78.93,62,82.78,120,26,-21.40%,4.90%,52.00%,10
FIS,"Fidelity National Info
",148.5,128,166.58,178,24,-13.80%,12.20%,19.90%,3
BA,Boeing,163.4,149,186.24,270,18,-8.80%,14.00%,65.20%,6
RTX,"Raytheon Technologies
",61.44,70,76.63,89,9,13.90%,24.70%,44.90%,9
NOW,ServiceNow,473.9,430,483.8,538,21,-9.30%,2.10%,13.50%,9
SPGI,S&P Global,357.2,351,387.8,402,10,-1.70%,8.60%,12.50%,7
GILD,Gilead Sciences,66.2,67,80.12,105,22,1.20%,21.00%,58.60%,5
CAT,Caterpillar,148.6,111,144,164,16,-25.30%,-3.10%,10.40%,2
ISRG,"Intuitive Surgical
",715.5,365,687.13,789,17,-49.00%,-4.00%,10.30%,9
BLK,Blackrock,548.1,566,634.2,685,11,3.30%,15.70%,25.00%,9
INTU,Intuit,322.4,315,379.07,405,14,-2.30%,17.60%,25.60%,7
CVS,CVS Health,57,73,85.29,104,9,28.10%,49.60%,82.50%,4
PLD,Prologis,102.7,93,110.22,121,10,-9.40%,7.30%,17.80%,9
BKNG,"Booking Holdings
",1787,1500,1928,2150,20,-16.10%,7.90%,20.30%,9
SYK,Stryker,210.5,200,223.33,245,13,-5.00%,6.10%,16.40%,8
AXP,"American Express
",106.6,80,101.53,127,17,-25.00%,-4.80%,19.10%,7
VRTX,"Vertex Pharmaceuticals
",266.8,275,312.44,340,19,3.10%,17.10%,27.40%,8
ZM,"Zoom Video Communications
",410.9,255,408,525,24,-37.90%,-0.70%,27.80%,10
APD,"Air Products and Chemicals
",304,225,317.92,363,15,-26.00%,4.60%,19.40%,10
CCI,Crown Castle,163.4,148,179,195,9,-9.40%,9.50%,19.30%,10
TJX,TJX Companies,56.86,54,63.46,68,13,-5.00%,11.60%,19.60%,8
CL,"Colgate-Palmolive
",76.94,65,77.36,88,11,-15.50%,0.50%,14.40%,5
TMUS,T Mobile US,115.9,110,128.91,150,14,-5.10%,11.20%,29.40%,10
CSX,CSX,80.27,52,79.33,93,18,-35.20%,-1.20%,15.90%,6
MMC,"Marsh & Mclennan Companies
",118.6,113,123.25,135,12,-4.70%,3.90%,13.80%,6
ADP,"Automatic Data Processing
",136.9,135,144.5,151,7,-1.40%,5.60%,10.30%,6
BSX,"Boston Scientific
",41.02,43,46.07,50,16,4.80%,12.30%,21.90%,8
FDX,FedEx,236.6,100,218.23,300,23,-57.70%,-7.80%,26.80%,10
PGR,Progressive,95.08,83,99,115,10,-12.70%,4.10%,21.00%,7
MS,Morgan Stanley,50.39,45,57.27,68,13,-10.70%,13.70%,34.90%,9
REGN,Regeneron,579.9,550,660.92,750,15,-5.20%,14.00%,29.30%,7
CB,Chubb,117.6,114,140.36,157,12,-3.10%,19.40%,33.50%,9
FISV,Fiserv,100.5,96,125.72,160,19,-4.50%,25.10%,59.20%,2
NEM,Newmont Mining,67.55,61,77.1,90.38,10,-9.70%,14.10%,33.80%,8
GE,"General Electric
",6.1,6.3,8.4,11,10,3.30%,37.70%,80.30%,5
HUM,Humana,399.9,409,446.07,496,15,2.30%,11.50%,24.00%,7
NOC,Northrop,338,370,406.88,470,8,9.50%,20.40%,39.10%,8
SQ,Square,154.5,44,152.23,225,28,-71.50%,-1.50%,45.60%,9
ECL,Ecolab,206.6,172,199.67,230,7,-16.70%,-3.40%,11.30%,8
DG,Dollar General,202.8,182,227.94,246,19,-10.30%,12.40%,21.30%,7
GPN,Global Payments,173.1,165,202.64,247,14,-4.70%,17.10%,42.70%,6
ADSK,Autodesk,235.8,170,263.29,300,16,-27.90%,11.70%,27.20%,4
PNC,PNC Financial,111.2,83,114.04,127,11,-25.40%,2.60%,14.20%,3
LRCX,Lam Research,308.9,320,394.79,450,20,3.60%,27.80%,45.70%,10
ADI,Analog Devices,116,100,137.27,155,17,-13.80%,18.30%,33.60%,7
BAX,"Baxter International
",80.51,90,96.86,100,10,11.80%,20.30%,24.20%,7
SCHW,Charles Schwab,34.75,35,38.75,47,8,0.70%,11.50%,35.30%,3
ROP,"Roper Technologies
",403.8,300,424.75,490,10,-25.70%,5.20%,21.30%,6
ETN,Eaton,102.8,87,103.25,115,12,-15.40%,0.40%,11.90%,4
LHX,"L3Harris Technologies
",178.7,205,236.43,258,7,14.70%,32.30%,44.40%,7
DLR,Digital Realty,147.2,139,166.79,186,16,-5.60%,13.30%,26.40%,6
CTSH,Cognizant,70.13,45.5,71.53,85,17,-35.10%,2.00%,21.20%,9
GD,"General Dynamics
",145.1,159,164.33,180,7,9.60%,13.30%,24.10%,2
DXCM,Dexcom,397.9,400,473.4,540,16,0.50%,19.00%,35.70%,10
EA,Electronic Arts,128.3,132,152.14,170,25,2.90%,18.60%,32.50%,7
DOCU,DocuSign,202,210,255.4,300,16,4.00%,26.40%,48.50%,10
VEEV,Veeva Systems,273.5,228,300.89,325,19,-16.60%,10.00%,18.80%,8
WDAY,Workday,207.6,170,246.72,296,25,-18.10%,18.80%,42.60%,9
GIS,General Mills,59.02,62,66.63,72,8,5.00%,12.90%,22.00%,7
LULU,"Lululemon Athletica
",315.4,228,379.07,449,28,-27.70%,20.20%,42.40%,7
EXC,Exelon,36.17,36,45.86,58,8,-0.50%,26.80%,60.40%,7
CMG,Chipotle,1277,751,1288,1600,28,-41.20%,0.90%,25.30%,10
ORLY,O'Reilly Auto,477.4,450,502.08,550,15,-5.70%,5.20%,15.20%,7
SRE,Sempra Energy,117.6,119,147.71,184,7,1.20%,25.60%,56.50%,8
CSGP,CoStar Group,843,800,861.3,925,10,-5.10%,2.20%,9.70%,10
SYY,Sysco,65.4,57,64,74,7,-12.80%,-2.10%,13.10%,10
CMI,Cummins,210.1,160,206.57,244,16,-23.80%,-1.70%,16.10%,7
PPG,PPG Industries,129.9,114,127.46,140,15,-12.20%,-1.90%,7.80%,9
APH,Amphenol,108.3,95,117.86,140,8,-12.30%,8.80%,29.30%,6
IQV,IQVIA Holdings,164.7,140,182,204,14,-15.00%,10.50%,23.90%,6
TWTR,Twitter,39.09,30,38.69,52,29,-23.30%,-1.00%,33.00%,2
PCAR,Paccar,85.77,67,90.45,108,11,-21.90%,5.50%,25.90%,6
TRV,"Travelers Companies
",112.1,115,127,155,10,2.60%,13.30%,38.30%,8
TROW,T Rowe Price,126.7,125,142.9,160,10,-1.30%,12.80%,26.30%,6
CDNS,Cadence Design,105.2,80,112.5,128,7,-24.00%,6.90%,21.70%,5
MAR,"Marriott International
",105.3,83,101.82,148,12,-21.20%,-3.30%,40.60%,5
F,Ford Motor,7.04,4.9,7.43,8,12,-30.40%,5.50%,13.60%,3
YUM,Yum! Brands,93.52,85,98.85,108,13,-9.10%,5.70%,15.50%,7
CLX,Clorox,209.5,189,223.33,269,9,-9.80%,6.60%,28.40%,6
HPQ,HP,19.26,17,19.69,25,9,-11.70%,2.20%,29.80%,4
PRU,"Prudential Financial
",68.36,58,66.13,72,9,-15.20%,-3.30%,5.30%,6
PH,Parker Hannifin,209.9,140,212.18,229,11,-33.30%,1.10%,9.10%,7
BLL,Ball,84.43,70,78.38,86,9,-17.10%,-7.20%,1.90%,7
MRVL,Marvell,39.01,30,41.24,50,22,-23.10%,5.70%,28.20%,5
AWK,American Water,143.5,138,147.6,157,7,-3.80%,2.90%,9.40%,8
ROK,"Rockwell Automation
",224.7,155,224.27,270,12,-31.00%,-0.20%,20.20%,9
WBA,"Walgreens Boots Alliance
",35.27,37,41,45,12,4.90%,16.20%,27.60%,7
HLT,"Hilton Worldwide Holdings
",91.94,72,89.75,125,12,-21.70%,-2.40%,36.00%,5
WMB,Williams Co,20.87,21,24.5,29,12,0.60%,17.40%,39.00%,10
KR,Kroger Company,32.72,33,36.56,40,17,0.90%,11.70%,22.20%,10
CARR,Carrier Global,29.69,26,30.33,38,9,-12.40%,2.20%,28.00%,7
SLB,Schlumberger,18.2,18.1,23.73,28,16,-0.50%,30.40%,53.80%,7
WELL,Welltower,60.71,42,53.7,60,11,-30.80%,-11.50%,-1.20%,3
ED,"Consolidated Edison
",74.47,72,76.33,83,7,-3.30%,2.50%,11.50%,8
GLW,Corning,32.82,26,32.07,39,8,-20.80%,-2.30%,18.80%,6
MKC,"McCormick & Company
",200.3,121,166.86,200,7,-39.60%,-16.70%,-0.10%,5
SWK,"Stanley Black & Decker
",162.8,131,171.7,191,12,-19.50%,5.50%,17.30%,7
XLNX,Xilinx,102.8,88,109.94,130,18,-14.40%,6.90%,26.50%,9
BBY,Best Buy Co,107.9,97,122.17,135,19,-10.10%,13.20%,25.10%,10
PANW,"Palo Alto Networks
",248,230,297.81,340,27,-7.30%,20.10%,37.10%,9
VFC,VF,74.79,53,66.75,88,12,-29.10%,-10.80%,17.70%,8
LUV,"Southwest Airlines
",40.61,36,43.8,54,13,-11.40%,7.90%,33.00%,2
APTV,Aptiv,86.01,63,89.8,110,10,-26.80%,4.40%,27.90%,10
SWKS,"Skyworks Solutions
",140.9,126,148.45,175,23,-10.60%,5.40%,24.20%,6
EOG,EOG Resources,38.59,52,63.53,85,16,34.70%,64.60%,120.30%,3
CHD,Church & Dwight,92.33,74,94.75,111,13,-19.90%,2.60%,20.20%,5
STT,State Street,63.2,64,71.88,83,8,1.30%,13.70%,31.30%,6
OKTA,Okta,193.4,215,235.29,266,17,11.20%,21.70%,37.50%,8
CTVA,Corteva,29.45,28,30.14,34,7,-4.90%,2.30%,15.40%,7
WY,Weyerhaeuser,28.76,28,31.57,35,8,-2.60%,9.80%,21.70%,5
PPL,PPL,27.72,29,30.07,31,8,4.60%,8.50%,11.80%,6
HSY,Hershey Co,144.3,140,149.58,170,13,-3.00%,3.70%,17.80%,8
EQR,"Equity Residential
",56.33,50,59.08,70,12,-11.20%,4.90%,24.30%,8
DLTR,Dollar Tree,88.65,100,110.82,125,13,12.80%,25.00%,41.00%,9
TEAM,Atlassian,171,175,204.44,240,11,2.30%,19.60%,40.40%,5
CPRT,Copart,105,74,107,120,7,-29.50%,1.90%,14.30%,8
DAL,Delta Airlines,33.51,32,39.17,50,9,-4.50%,16.90%,49.20%,1
KHC,Kraft Heinz,31.97,30,35.71,40,15,-6.20%,11.70%,25.10%,7
EFX,Equifax,160.2,150,182.67,200,10,-6.40%,14.00%,24.80%,3
LYB,LyondellBasell,76.55,60,74.89,88,11,-21.60%,-2.20%,15.00%,9
VLO,Valero Energy,46.56,59,70.36,85,12,26.70%,51.10%,82.60%,5
AMP,"Ameriprise Financial
",153.8,163,178.71,195,8,6.00%,16.20%,26.80%,10
FRC,"First Republic Bank
",108,85,119.93,140,14,-21.30%,11.00%,29.60%,5
LVS,Las Vegas Sands,51.85,50,58.64,65,11,-3.60%,13.10%,25.40%,7
MXIM,"Maxim Integrated
",67.09,50,70.83,81,13,-25.50%,5.60%,20.70%,4
CMS,CMS Energy,61.11,57,60.67,63,7,-6.70%,-0.70%,3.10%,8
TFX,Teleflex,369.8,400,423.71,450,8,8.20%,14.60%,21.70%,5
KMX,CarMax,105,100,112.57,130,7,-4.80%,7.20%,23.80%,4
IMMU,Immunomedics,84.75,40,68.25,88,9,-52.80%,-19.50%,3.80%,7
VMC,"Vulcan Materials
",131.4,120,136.64,151,12,-8.70%,4.00%,14.90%,5
MRNA,Moderna,66.88,41,90.62,134,14,-38.70%,35.50%,100.40%,5
MKTX,"Marketaxess Holdings
",464,492,534.71,600,8,6.00%,15.20%,29.30%,6
CAG,Conagra Brands,34.57,32,37.33,41,9,-7.40%,8.00%,18.60%,8
CTXS,Citrix Systems,135.9,145,166.57,189,10,6.70%,22.60%,39.10%,7
DOV,Dover,113.9,102,117.43,126,8,-10.40%,3.10%,10.60%,7
COUP,Coupa Software,252.2,232,288.12,339,17,-8.00%,14.20%,34.40%,10
TRU,TransUnion,87.49,95,102.67,106,7,8.60%,17.40%,21.20%,3
K,Kellogg,65.63,54,72.33,79,12,-17.70%,10.20%,20.40%,6
FE,FirstEnergy,29.35,28.5,38.14,45,13,-2.90%,29.90%,53.30%,4
VIAC,ViacomCBS,30.13,22,28.56,35,17,-27.00%,-5.20%,16.20%,8
ROKU,Roku,168.5,65,167.21,228,20,-61.40%,-0.80%,35.30%,8
INVH,"Invitation Homes
",28.91,30,33.38,36,9,3.80%,15.50%,24.50%,8
TSCO,Tractor Supply,140.8,140,156.94,171,18,-0.60%,11.50%,21.40%,9
FITB,"Fifth Third Bancorp
",21.87,19,23.38,27,9,-13.10%,6.90%,23.50%,7
GWW,WW Grainger,354.6,256,354.27,416,11,-27.80%,-0.10%,17.30%,7
SYF,"Synchrony Financial
",26.49,20,27.35,40,13,-24.50%,3.20%,51.00%,6
PXD,Pioneer Natural,94.63,105,126.06,173,19,11.00%,33.20%,82.80%,4
HZNP,"Horizon Therapeutics
",78.97,90,103,123,10,14.00%,30.40%,55.80%,10
XYL,Xylem,84.41,69,79.43,88,8,-18.30%,-5.90%,4.30%,2
DPZ,Domino's Pizza,389.5,385,430.43,458,22,-1.20%,10.50%,17.60%,7
EXPD,"Expeditors International
",93.3,64,78.13,91,9,-31.40%,-16.30%,-2.50%,4
DGX,"Quest Diagnostics
",113.5,128,144.38,151,9,12.80%,27.20%,33.00%,9
ALNY,Alnylam Pharma,130.5,90,171.58,225,12,-31.00%,31.50%,72.40%,6
CRWD,"CrowdStrike Holdings
",131.4,116,148.14,172,21,-11.70%,12.70%,30.90%,9
NDAQ,Nasdaq,128.1,116,134.92,146,14,-9.40%,5.30%,14.00%,8
PINS,Pinterest,37.61,26,36.82,45.5,20,-30.90%,-2.10%,21.00%,7
FMC,FMC,111.8,115,122.2,128,11,2.90%,9.30%,14.50%,4
HIG,"Hartford Financial
",37.48,46,49.5,55,9,22.70%,32.10%,46.70%,9
MAA,"Mid-America Apartment
",118.5,120,126.17,136,7,1.30%,6.50%,14.80%,4
ABC,"AmerisourceBergen
",94.9,88,114,127,10,-7.30%,20.10%,33.80%,9
PODD,Insulet,225.5,210,239.69,260,14,-6.90%,6.30%,15.30%,5
BURL,"Burlington Stores
",212.2,200,234.78,255,11,-5.70%,10.60%,20.20%,2
MLM,"Martin Marietta Materials
",218.1,220,246.29,267,8,0.90%,12.90%,22.40%,3
IFF,"International Flavors & Fragrances
",124.2,111,132.17,150,7,-10.60%,6.40%,20.80%,2
PKI,PerkinElmer,118.5,105,120,139,9,-11.40%,1.30%,17.30%,7
CE,Celanese,110.3,95,108.33,120,15,-13.90%,-1.80%,8.80%,9
SIVB,"Svb Financial Group
",248.2,160,261.92,299,13,-35.50%,5.50%,20.50%,6
ULTA,Ulta Beauty,237.3,230,269.5,300,19,-3.10%,13.60%,26.40%,4
CTLT,Catalent,84.32,91,99.5,107,10,7.90%,18.00%,26.90%,7
EXPE,Expedia,97.4,65,100.06,138,20,-33.30%,2.70%,41.70%,5
TRMB,"Trimble Navigation
",52.08,46,51.71,56,7,-11.70%,-0.70%,7.50%,7
URI,United Rentals,176.5,110,161.88,200,9,-37.70%,-8.30%,13.30%,6
TER,Teradyne,77.2,73,88.28,105,10,-5.40%,14.40%,36.00%,8
IR,Ingersoll Rand,36.33,31,34.14,36,7,-14.70%,-6.00%,-0.90%,2
ABMD,Abiomed,279.1,217,316.75,365,7,-22.30%,13.50%,30.80%,4
CFG,"Citizens Financial
",26.69,25,30.55,35,11,-6.30%,14.50%,31.10%,6
WAB,"Westinghouse Air Brake Technologies
",66.82,65,72,80,7,-2.70%,7.80%,19.70%,4
NLOK,NortonLifeLock,21.23,21,25.45,28,12,-1.10%,19.90%,31.90%,10
ANET,Arista Networks,206.3,148,239.08,290,14,-28.30%,15.90%,40.60%,8
OKE,Oneok,26.29,25,32.42,38,13,-4.90%,23.30%,44.50%,4
DRI,Darden,93.38,71,89.41,112,23,-24.00%,-4.30%,19.90%,9
FBHS,Fortune Brands,84.08,64,78.18,95,11,-23.90%,-7.00%,13.00%,9
BAH,Booz Allen,83.87,80,88.75,95,7,-4.60%,5.80%,13.30%,9
GNRC,"Generac Holdings
",187.1,150,193.56,220,12,-19.80%,3.50%,17.60%,10
JBHT,JB Hunt,132.9,110,135.88,155,18,-17.20%,2.20%,16.60%,3
QGEN,Qiagen,50.14,46.32,56.64,71.26,15,-7.60%,13.00%,42.10%,10
KDP,"Keurig Dr Pepper
",28.8,31,34.27,40,11,7.60%,19.00%,38.90%,7
NLY,Annaly Capital,7.46,7.5,8.06,8.5,10,0.50%,8.00%,13.90%,10
WHR,Whirlpool,178.3,122,157.86,200,8,-31.60%,-11.50%,12.20%,6
EMN,"Eastman Chemical
",80.15,73,81.33,92,12,-8.90%,1.50%,14.80%,3
CRL,"Charles River Labs
",225.3,192,235.67,256,13,-14.80%,4.60%,13.60%,3
MPWR,"Monolithic Power
",258.6,270,285.25,310,8,4.40%,10.30%,19.90%,5
BRO,Brown & Brown,45.16,44,47.5,53,7,-2.60%,5.20%,17.40%,7
UAL,"United Airlines Holdings
",36.8,25,39.17,61,10,-32.10%,6.40%,65.80%,1
CGNX,Cognex,64.25,39,54.5,72,7,-39.30%,-15.20%,12.10%,1
UDR,UDR,34.8,33,38,41,7,-5.20%,9.20%,17.80%,4
LKQ,LKQ,31.85,32,39.71,48,8,0.50%,24.70%,50.70%,10
NTAP,NetApp,45.38,38,49.92,60,14,-16.30%,10.00%,32.20%,5
CNP,"Centerpoint Energy
",19.01,17,20.75,23,8,-10.60%,9.20%,21.00%,6
AVTR,Avantor,21.76,21,24.06,29,9,-3.50%,10.60%,33.30%,5
LII,"Lennox International
",273.2,190,244.14,275,9,-30.50%,-10.60%,0.70%,4
AVLR,Avalara,120.2,138,147.1,159,10,14.80%,22.40%,32.30%,9
BKR,"Baker Hughes Company
",14.71,18,20.67,26,13,22.40%,40.50%,76.80%,7
MPW,"Medical Properties
",18.32,19,21.4,23,10,3.70%,16.80%,25.50%,5
CVNA,Carvana Co,171.9,105,190.8,250,16,-38.90%,11.00%,45.40%,6
WU,Western Union,22.43,21,24.44,28,10,-6.40%,9.00%,24.80%,3
CXO,"Concho Resources
",46.19,63,72.44,99,17,36.40%,56.80%,114.30%,7
PCG,PG&E,9.78,11,13.06,14.5,12,12.50%,33.50%,48.30%,6
IAC,IAC/InterActive,126,135,155.94,174,17,7.10%,23.80%,38.10%,5
ZS,Zscaler,132.6,100,148.44,205,18,-24.60%,11.90%,54.60%,10
ON,"ON Semiconductor
",22.02,14,23.7,28,17,-36.40%,7.60%,27.20%,3
GWRE,Guidewire,107.1,129,137.57,145,7,20.40%,28.50%,35.40%,10
WRK,WestRock,35.95,26,34.83,44,7,-27.70%,-3.10%,22.40%,7
PTC,PTC,88.32,89,100.5,120,11,0.80%,13.80%,35.90%,8
CPT,Camden Property,92.01,95,100.89,111,9,3.20%,9.70%,20.60%,8
HST,"Host Hotels & Resorts
",12.02,8,13.17,20,13,-33.40%,9.60%,66.40%,6
ATUS,Altice Usa,27.03,28,34.89,41,10,3.60%,29.10%,51.70%,5
CCL,Carnival,15.93,10,15.93,24,18,-37.20%,0.00%,50.70%,1
CPB,Campbell Soup,45.52,44,53.57,59,7,-3.30%,17.70%,29.60%,5
CHGG,Chegg,66.39,79,95.25,105,12,19.00%,43.50%,58.20%,10
JNPR,"Juniper Networks
",23.1,19,25.15,28,10,-17.70%,8.90%,21.20%,7
APO,"Apollo Global Management
",45.35,45,55,65,13,-0.80%,21.30%,43.30%,7
PNR,Pentair,45.11,39,46.5,54,12,-13.50%,3.10%,19.70%,8
LYFT,Lyft,30.23,30,42.37,66,22,-0.80%,40.20%,118.30%,6
COG,Cabot Oil & Gas,18.68,18,21,23,9,-3.60%,12.40%,23.10%,2
EXEL,Exelixis,25.13,23,31.17,40,7,-8.50%,24.00%,59.20%,8
LEA,Lear,123.5,93,127.44,143,10,-24.70%,3.20%,15.80%,2
PLAN,Anaplan,58.51,50,65.75,75,16,-14.50%,12.40%,28.20%,3
FFIV,F5 Networks,121.4,140,166.45,190,12,15.30%,37.10%,56.50%,4
CF,CF Industries,32.97,31,36.5,40,7,-6.00%,10.70%,21.30%,4
BYND,Beyond Meat,146.4,72,126.71,180,16,-50.80%,-13.40%,23.00%,3
AMED,Amedisys,239.5,245,258,290,12,2.30%,7.70%,21.10%,6
ENPH,Enphase Energy,72.16,52.5,74.38,100,14,-27.20%,3.10%,38.60%,10
SAM,Boston Beer,874.3,440,829.82,1015,11,-49.70%,-5.10%,16.10%,5
BERY,"Berry Global Group
",51.56,55,60.5,65,11,6.70%,17.30%,26.10%,6
WSM,Williams-Sonoma,93.04,89,105,120,13,-4.30%,12.90%,29.00%,9
LNC,"Lincoln National
",33.59,35,42.25,50,8,4.20%,25.80%,48.90%,7
FIVE,Five Below,132.6,120,136.67,155,15,-9.50%,3.10%,16.90%,10
RUN,Sunrun,61.01,23,45.11,57,9,-62.30%,-26.10%,-6.60%,8
LVGO,Livongo Health,124.4,70,113.2,150,12,-43.70%,-9.00%,20.60%,6
DNKN,Dunkin' Brands,77.13,63,73,80,15,-18.30%,-5.40%,3.70%,3
SIRI,"Sirius XM Holdings
",5.36,5.5,6.91,7.5,9,2.60%,28.90%,39.90%,7
LB,L Brands,28.99,15,30.74,40,19,-48.30%,6.00%,38.00%,5
AAL,"American Airlines
",13.14,9,12,18,10,-31.50%,-8.70%,37.00%,1
ARMK,"ARAMARK Holdings
",28.78,24,28,36,8,-16.60%,-2.70%,25.10%,1
LPLA,LPL Financial,80.58,79,96.07,118.5,7,-2.00%,19.20%,47.10%,7
HDS,"HD Supply Holdings
",40.86,36,43.4,51,11,-11.90%,6.20%,24.80%,3
FND,"Floor & Decor Holdings
",75.05,65,77.64,85,14,-13.40%,3.50%,13.30%,6
WEX,WEX,146.3,155,180.44,225,9,5.90%,23.30%,53.80%,2
TAP,Molson Coors,34.29,31,42.7,55,10,-9.60%,24.50%,60.40%,6
LHCG,LHC Group,205.8,190,228.57,250,7,-7.70%,11.10%,21.50%,7
FSLR,First Solar,72.89,38,71.4,95,13,-47.90%,-2.00%,30.30%,9
DECK,Deckers Outdoor,214.4,211,246.2,265,11,-1.60%,14.80%,23.60%,9
MNTA,Momenta Pharma,52.37,36,50.19,53,10,-31.30%,-4.20%,1.20%,4
HII,"Huntington Ingalls
",145.2,158,181.86,205,7,8.80%,25.20%,41.20%,4
HTA,Healthcare,26.87,28,30.57,35,7,4.20%,13.80%,30.30%,10
ESTC,Elastic,103.7,100,127.54,145,13,-3.60%,23.00%,39.80%,10
MKSI,MKS Instruments,106.2,120,147.89,185,9,13.00%,39.30%,74.20%,7
LITE,"Lumentum Holdings
",71.94,84,106.27,120,15,16.80%,47.70%,66.80%,10
PVH,PVH,70.93,35,61.91,87,11,-50.70%,-12.70%,22.70%,6
BLD,TopBuild,155.2,114,157.9,180,10,-26.50%,1.70%,16.00%,7
EWBC,"East West Bancorp
",34.02,33,39.86,47,7,-3.00%,17.20%,38.20%,6
ZG,Zillow Group,91,28,83.06,110,20,-69.20%,-8.70%,20.90%,7
SITE,"SiteOne Landscape Supply
",118.7,85,118.75,150,8,-28.40%,0.00%,26.40%,5
LSTR,Landstar System,129.6,70,119.89,140,10,-46.00%,-7.50%,8.00%,7
KIM,Kimco Realty,12.97,11,13.8,16,11,-15.20%,6.40%,23.40%,6
ALK,Alaska Air,42.18,35,50.33,63,8,-17.00%,19.30%,49.40%,3
IPHI,Inphi,106.9,112,146.21,164,14,4.80%,36.80%,53.40%,8
EGP,"Eastgroup Properties
",134,130,135.86,144,7,-3.00%,1.40%,7.50%,6
XLRN,"Acceleron Pharma
",101.8,106,131.6,155,10,4.10%,29.30%,52.30%,10
HUN,Huntsman,23.04,17,23.33,29,14,-26.20%,1.30%,25.90%,5
PLNT,Planet Fitness,61,47,67.22,82,10,-23.00%,10.20%,34.40%,2
NVRO,Nevro Crop,144.5,139,153.33,165,10,-3.80%,6.10%,14.20%,5
PEGA,Pegasystems,123.3,112,138.44,163,9,-9.20%,12.30%,32.20%,7
WWD,Woodward,82.55,47,84,100,7,-43.10%,1.80%,21.10%,3
